"op_id" "op_name"
161 "EXPRESS ONE INTL"
162 "EXPRESSJET (CONTINENTAL EXPRS)"
163 "FAA"
164 "FALCON AIR EXPRESS"
165 "FEDEX EXPRESS"
166 "FINNAIR"
167 "FLIGHT EXPRESS"
168 "FLIGHT INTERNATIONAL"
169 "FLIGHT INTL"
170 "FLIGHT LINE (AMERICAN CHECK)"
171 "FLIGHT OPTIONS"
172 "FLIGHTCRAFT"
173 "FLIGHTSTAR"
174 "FLIGHTWORKS"
175 "FOCUS AIR"
176 "FORD MOTOR"
177 "FREEDOM AIR"
178 "FREEDOM AIRLINES"
179 "FREIGHT RUNNERS EXPRESS"
180 "FRONTIER AIRLINES"
181 "FRONTIER FLYING SERVICE"
182 "GLOBESPAN AIRWAYS"
183 "GOJET AIRLINES"
184 "GOVERNMENT"
185 "GRAND CANYON AIRLINES"
186 "GREAT LAKES AIRLINES"
187 "GREAT PLAINS AIRLINES"
188 "GULFSTREAM INTL AIRLINES"
189 "HAGELAND AVIATION SERVICES"
190 "HARBOR AIRLINES"
191 "HARMONY AIRWAYS"
192 "HAWAIIAN AIR"
193 "HEARTLAND AVIATION"
194 "HERITAGE FLIGHT"
195 "HOP-A-JET"
196 "HORIZON AIR"
197 "IBC AIRWAYS"
198 "ICELANDAIR"
199 "INDEPENDENCE AIR"
200 "INTL FLIGHT TRAINING  ACADEMY"
201 "ISLAND AIR"
202 "ISLAND AIR CHARTERS"
203 "ISLAND AIRLINES"
204 "ISLAND EXPRESS"
205 "JALWAYS"
206 "JAPAN AIRLINES"
207 "JETBLUE AIRWAYS"
208 "JETCORP"
209 "JMC AIRLINES"
210 "KAISERAIR"
211 "KALITTA AIR"
212 "KALITTA CHARTERS"
213 "KENMORE AIR"
214 "KEY LIME AIR"
215 "KITTY HAWK AIR CARGO"
216 "KITTY HAWK AIRWAYS"
217 "KLM ROYAL DUTCH AIRLINES"
218 "KOREAN AIR"
219 "LANCHILE"
220 "LEGEND AIRLINES"
221 "LOT POLISH AIRLINES"
222 "LUFTHANSA"
223 "LUFTHANSA CARGO"
224 "LYNDEN AIR CARGO"
225 "LYNX AVIATION"
226 "MALEV"
227 "MARTINAIR"
228 "MARTINAIRE"
229 "MAXJET AIRWAYS"
230 "MERIDIANA FLY WAS EUROFLY SPA"
231 "MERLIN AIRWAYS"
232 "MESA AIRLINES"
233 "MESABA AIRLINES"
234 "MEXICANA"
235 "MIAMI AIR INTL"
236 "MID-ATLANTIC FREIGHT"
237 "MIDAMERICAJET"
238 "MIDWAY AIRLINES"
239 "MIDWEST AIRLINES"
240 "MIDWEST AVIATION DIVISION"
241 "MILITARY"
242 "MOKULELE AIRLINES"
243 "MONARCH AIRLINES"
244 "MOUNTAIN AIR CARGO"
245 "MURRAY AVIATION"
246 "MYTRAVEL AIRWAYS"
247 "NANTUCKET AIRLINES"
248 "NATIONAL AIRLINES"
249 "NETJETS"
250 "NETJETS AVIATION"
251 "NETJETS EUROPE"
252 "NEW ENGLAND AIRLINES"
253 "NIPPON CARGO AIRLINES"
254 "NORTH AMERICAN"
255 "NORTH AMERICAN CHARTERS"
256 "NORTHERN AIR CARGO"
257 "NORTHWEST AIRLINES"
258 "OLYMPIC AIRWAYS"
259 "OMNI AIR INTL"
260 "PACCAIR (PRO AIRE) CARGO"
261 "PACE AIRLINES"
262 "PACIFIC ISLAND AVIATION"
263 "PACIFIC WINGS"
264 "PAN AM"
265 "PAN AM EXPRESS"
266 "PENAIR"
267 "PERIMETER AIRLINES"
268 "PHI INC"
269 "PHILIPS AVIATION"
270 "PHOENIX AIR"
271 "PIEDMONT AIRLINES"
272 "PINNACLE"
273 "PLANET AIRWAYS"
274 "POLAR AIR CARGO"
275 "POLYNESIAN"
276 "PORTER AIRLINES"
277 "PRIESTER AVIATION"
278 "PRIVATELY OWNED"
279 "PRO AIR"
280 "PSA AIRLINES"
281 "QANTAS"
282 "QATAR AIRWAYS"
283 "QATAR AMIRI FLIGHT"
284 "QUEST DIAGNOSTICS"
285 "RAM AIR FREIGHT"
286 "RAYTHEON TRAVEL AIR"
287 "REPUBLIC AIRLINES"
288 "RICHLAND AVIATION"
289 "ROCKY MTN HELICOPTERS"
290 "ROYAL AIR FREIGHT"
291 "ROYAL AMERICAN AIRWAYS"
292 "ROYAL JORDANIAN"
293 "RYAN AIR SERVICES"
294 "RYAN INTL AIRLINES"
295 "SALMON AIR"
296 "SAUDI ARABIAN AIRLINES"
297 "SCANDANAVIAN AIRLINES"
298 "SCENIC AIRLINES"
299 "SHANGHAI CARGO"
300 "SHUTTLE AMERICA"
301 "SILVERHAWK AVIATION CHARTER"
302 "SINGAPORE AIRLINES"
303 "SINGAPORE AIRLINES CARGO"
304 "SKY KING"
305 "SKYBUS AIRLINES"
306 "SKYSERVICE AIRLINES"
307 "SKYWARD AVIATION"
308 "SKYWAY AIRLINES"
309 "SKYWAY ENTERPRISES"
310 "SKYWAYS EXPRESS"
311 "SKYWEST AIRLINES"
312 "SOUTH AFRICAN AIRWAYS"
313 "SOUTHEAST AIRLINES"
314 "SOUTHERN AIR"
315 "SOUTHERN AIR TRANSPORT"
316 "SOUTHWEST AIRLINES"
317 "SPIRIT AIRLINES"
318 "SPIRIT AVIATION"
319 "SPRINGDALE AIR SERVICE"
320 "SUBURBAN AIR FREIGHT"
321 "SUN COUNTRY AIRLINES"
322 "SUNWORLD INTL AIRLINES"
323 "SUPERIOR AVIATION"
324 "SWIFT AIR"
325 "SWISS INTL AIR LINES"
326 "SWISSAIR"
327 "TACA INTL AIRLINES"
328 "TAM LINHAUS AEREAS"
329 "TAP AIR PORTUGAL"
330 "THOMAS COOK AIRLINES"
331 "THOMSONFLY"
332 "TRADEWINDS AIRLINES"
333 "TRANS AIR"
334 "TRANS STATES AIRLINES"
335 "TRANS WORLD AIRLINES"
336 "TRANSMERIDIAN AIRLINES"
337 "TRI-STATE AERO"
338 "TURKISH AIRLINES"
339 "U.S. CHECK AIRLINES"
340 "UFS-UNITED EXPRESS"
341 "ULTRAAIR"
342 "UNION FLIGHTS"
343 "UNITED AIRLINES"
344 "UNIVERSAL JET AVIATION"
345 "UNKNOWN"
346 "UNKNOWN COMMERCIAL"
347 "UPS AIRLINES"
348 "US AIRWAYS"
349 "US AIRWAYS*"
350 "US CUSTOMS AND BORDER PROTECTION"
351 "US EXPRESS"
352 "USA 3000"
353 "USA JET AIRLINES"
354 "VANGUARD AIRLINES"
355 "VARIG"
356 "VIRGIN AMERICA"
357 "VIRGIN ATLANTIC"
358 "VISION AIRLINES"
359 "VOLARIS"
360 "VOYAGEUR AIRWAYS"
361 "WARBELOWS AIR VENTURES"
362 "WESTAIR"
363 "WESTERN AIR EXPRESS"
364 "WESTJET"
365 "WIGGINS AIRWAYS"
366 "WORLD AIRWAYS"
367 "WORLDWIDE JET CHARTER"
368 "XIAMEN AIRLINES"
369 "XL AIRWAYS UK"
370 "XOJET"
371 "XTRA AIRWAYS"
372 "ZANTOP INTL AIRLINES"
